cellID	cellType	sampleID
GSM2172249	ductal	21_male
GSM2172250	ductal	21_male
GSM2172251	unsure	21_male
GSM2172252	delta	21_male
GSM2172253	alpha	21_male
GSM2172254	unsure	21_male
GSM2172255	ductal	21_male
GSM2172256	unsure	21_male
GSM2172257	ductal	21_male
GSM2172258	unsure	21_male
GSM2172259	ductal	21_male
GSM2172260	ductal	21_male
GSM2172261	unsure	21_male
GSM2172262	delta	21_male
GSM2172263	ductal	21_male
GSM2172264	ductal	21_male
GSM2172265	unsure	21_male
GSM2172266	ductal	21_male
GSM2172267	delta	21_male
GSM2172268	ductal	21_male
GSM2172269	unsure	21_male
GSM2172270	delta	21_male
GSM2172271	alpha	21_male
GSM2172272	ductal	21_male
GSM2172273	unsure	21_male
GSM2172274	alpha	21_male
GSM2172275	unsure	21_male
GSM2172276	unsure	21_male
GSM2172277	unsure	21_male
GSM2172278	unsure	21_male
GSM2172279	ductal	21_male
GSM2172280	unsure	21_male
GSM2172281	ductal	21_male
GSM2172282	unsure	21_male
GSM2172283	alpha	21_male
GSM2172284	unsure	21_male
GSM2172285	unsure	21_male
GSM2172286	unsure	21_male
GSM2172287	unsure	21_male
GSM2172288	delta	21_male
GSM2172289	unsure	21_male
GSM2172290	ductal	21_male
GSM2172291	alpha	21_male
GSM2172292	ductal	21_male
GSM2172293	unsure	21_male
GSM2172294	unsure	21_male
GSM2172295	ductal	21_male
GSM2172296	ductal	21_male
GSM2172297	unsure	21_male
GSM2172298	alpha	21_male
GSM2172299	ductal	21_male
GSM2172300	ductal	21_male
GSM2172301	ductal	21_male
GSM2172302	ductal	21_male
GSM2172303	ductal	21_male
GSM2172304	ductal	21_male
GSM2172305	alpha	21_male
GSM2172306	alpha	21_male
GSM2172307	ductal	21_male
GSM2172308	unsure	21_male
GSM2172309	alpha	21_male
GSM2172310	ductal	21_male
GSM2172311	ductal	21_male
GSM2172312	ductal	21_male
GSM2172313	alpha	21_male
GSM2172314	ductal	21_male
GSM2172315	alpha	21_male
GSM2172316	ductal	21_male
GSM2172317	unsure	21_male
GSM2172318	ductal	21_male
GSM2172319	unsure	21_male
GSM2172320	ductal	21_male
GSM2172321	unsure	21_male
GSM2172322	alpha	21_male
GSM2172323	alpha	21_male
GSM2172324	ductal	21_male
GSM2172325	ductal	21_male
GSM2172326	ductal	21_male
GSM2172327	alpha	21_male
GSM2172328	unsure	21_male
GSM2172329	alpha	21_male
GSM2172330	unsure	21_male
GSM2172331	acinar	21_male
GSM2172332	unsure	21_male
GSM2172333	unsure	21_male
GSM2172334	ductal	21_male
GSM2172335	alpha	21_male
GSM2172336	alpha	21_male
GSM2172337	unsure	21_male
GSM2172338	ductal	21_male
GSM2172339	ductal	21_male
GSM2172340	unsure	21_male
GSM2172341	unsure	21_male
GSM2172342	alpha	21_male
GSM2172343	unsure	21_male
GSM2172344	ductal	21_male
GSM2172345	ductal	21_male
GSM2172346	ductal	21_male
GSM2172347	alpha	21_male
GSM2172348	ductal	21_male
GSM2172349	unsure	21_male
GSM2172350	ductal	21_male
GSM2172351	ductal	21_male
GSM2172352	beta	21_male
GSM2172353	ductal	21_male
GSM2172354	unsure	21_male
GSM2172355	ductal	21_male
GSM2172356	unsure	21_male
GSM2172357	ductal	21_male
GSM2172358	ductal	21_male
GSM2172359	alpha	21_male
GSM2172360	alpha	21_male
GSM2172361	ductal	21_male
GSM2172362	alpha	21_male
GSM2172363	unsure	21_male
GSM2172364	alpha	21_male
GSM2172365	unsure	21_male
GSM2172366	ductal	21_male
GSM2172367	alpha	21_male
GSM2172368	ductal	21_male
GSM2172369	ductal	21_male
GSM2172370	alpha	21_male
GSM2172371	ductal	21_male
GSM2172372	ductal	21_male
GSM2172373	unsure	21_male
GSM2172374	ductal	21_male
GSM2172375	ductal	21_male
GSM2172376	alpha	21_male
GSM2172377	alpha	21_male
GSM2172378	alpha	21_male
GSM2172379	ductal	21_male
GSM2172380	ductal	21_male
GSM2172381	ductal	21_male
GSM2172382	ductal	21_male
